name,diet,flavor_profile,course,state,region,price_in_INR_perplate,image
Bhakri,vegetarian,Normal,Normal,Maharashtra,West,,
Bombil fry,non vegetarian,spicy,non vegmaincourse ,Maharashtra,West,,
Chakali,vegetarian,spicy,TraditionMah,Maharashtra,West,,
Daal Dhokli,vegetarian,spicy,maincourse,Gujarat,West,,
 dabeli,vegetarian,spicy,snack,Gujarat,West,,
Dahi vada,vegetarian,sweet,snack,Maharashtra,West,,
Dhokla,vegetarian,spicy,snack,Gujarat,West,,
Dudhi halwa,vegetarian,sweet,dessert,Gujarat,West,,
Gatta curry,vegetarian,spicy,maincourse,Rajasthan,West,,
Handwo,vegetarian,spicy,gujju,Gujarat,West,,
Khakhra,vegetarian,spicy,gujju,Gujarat,West,,
Khandvi,vegetarian,spicy,gujju,Gujarat,West,,
Kombdi vade,vegetarian,spicy,aagri,Maharashtra,West,,
Laapsi,vegetarian,spicy,aagri,Madhya Pradesh,Central,,
Koshimbir,vegetarian,spicy,maincourse,Maharashtra,West,,
Mohanthal,vegetarian,sweet,mithai,Gujarat,West,,
Pav Bhaji,vegetarian,spicy,maincourse,Maharashtra,West,,
Puri Bhaji,vegetarian,spicy,maincourse,Maharashtra,West,,
Sabudana Khichadi,vegetarian,spicy,snack,Maharashtra,West,,
Sev khamani,vegetarian,spicy,maincourse,Gujarat,West,,
Sev tameta,vegetarian,spicy,maincourse,Gujarat,West,,
Sukhdi,vegetarian,sweet,dessert,Maharashtra,West,,
Thalipeeth,vegetarian,spicy,maincourse,Maharashtra,West,,
Undhiyu,vegetarian,spicy,maincourse,Gujarat,West,,
Veg Kolhapuri,vegetarian,spicy,maincourse,Maharashtra,West,,
Black rice,non vegetarian,spicy,rice,Manipur,North East,60,
Prawn malai curry,non vegetarian,spicy,fish,West Bengal,East,250,
Bebinca,vegetarian,sweet,dessert,Goa,West,400/kg,
Mawa Bati,vegetarian,sweet,dessert,Madhya Pradesh,Central,400/kg,
Pinaca,vegetarian,sweet,dessert,Goa,West,300/kg,
vada pav,vegetarian,spicy,snack,Maharashtra,west,15,
veg momos,vegetarian,spicy,momos,kashmir,North ,80,
Puran Poli,vegetarian,sweet,maincourse,maharashtra,west,150,
Paplet fry,Non vegetarian,spicy,fish,maharashtra,west,250,
Prawns dry,non vegetarian,spicy,fish,maharashtra,west,250,
mutton dry,Non vegetarian,spicy,aagri,Maharashtra,west,300,
mutton curry,non vegetarian,spicy,aagri,Maharashtra,west,300,
chicken dry,non vegetarian,spicy,aagri,maharashtra,west,200,
chicken curry,non vegetarian,spicy,aagri,Maharashtra,west,200,
Kanda bhaji,,spicy,snack,maharashtra,west,20,
Misal pav,vegetarian,spicy,snack,Maharashtra,West,40,
mutton shawarma,Both,spicy,rolls,,,50,
custurd,vegetarian,sweet,dessert,,,,
besan laddu,vegetarian,sweet,laddu,Maharashtra,,,
boondi laddu,vegetarian,sweet,laddu,Maharashtra,,,
rava laddu,vegetarian,sweet,laddu,Maharashtra,,,
dryfruit laddu,vegetarian,sweet,laddu,Maharashtra,,,
motichur laddu,vegetarian,sweet,laddu,Maharashtra,,,
coconut laddu,vegetarian,sweet,laddu,Maharashtra,,,
peanut laddu,vegetarian,sweet,laddu,Maharashtra,,,
chicken shawarma,non vegetarian,spicy,rolls,,,,
veg shawarma,vegetarian,spicy,rolls,,,,
dal mundi,non vegetarian,spicy,aagri,,,,
fried rice,vegetarian,spicy,rice,,,,
pulao,vegetarian,spicy,rice,,,,
hyderabadi biriyani,non vegetarian,spicy,rice,,,,
kashmiri pulao,vegetarian,sweet,rice ,,,,
mutton biriyani,non vegetarian,spicy,rice,,,,
chicken biriyani,non vegetarian,spicy,rice,,,,
upma ,vegetarian,spicy,breakfast,,,,
sada dosa,vegetarian,spicy,breakfast,,,,
puranpoli,vegetarian,sweet,TraditionMah,,,,
karanji ,vegetarianswee,sweet,TraditionMah,,,,
mishti doi,vegetarian,sweet,bengalimithai,,,,
shondesh,vegetarian,sweet,bengalimithai,,,,
Malapua,vegetarian,sweet,bengalimithai,,,,
narlachi vadi,vegetarian,sweet,TraditionMah,,,,
fried rice,vegetarian,spicy,indochinese,,,,
chicken chilli,non vegetarian,spicy,indochinese,,,,
veg chilli,vegetarian,spicy,indochinese,,,,
chicken manchurian,non vegetarian,spicy,indochinese,,,,
veg manchurian,vegetarian,spicy,indochinese,,,,
manchow soup,vegetarian,spicy,soups,,,,
tomato soup,vegetarian,spicy,soups,,,,
spinach soup,vegetarian,spicy,soups,,,,
tomato corn soup,vegetarian,spicy,soups,,,,
chicken soup,non vegetarian,spicy,soups,,,,
noodle soup,vegetarian,spicy,soups,,,,
chicken noodle soup,non vegetarian,spicy,soups,,,,
veg spring rolls,vegetarian,spicy,indochinese,,,,
non veg spring rolls,non vegetarian,spicy,indochinese,,,,
schezuan noodles ,vegetarian,spicy,indochinese,,,,
non veg schezuan noodles,non vegetarian,spicy,indochinese,,,,
gulab jamun,vegetarian,sweet,dessert,,,,
veg Burger ,vegetarian,spicy,burgers,,,,
chicken burger,non vegetarian,spicy,burgers,,,,
maharaja mac,,spicy,burgers,,,,
aloo tikki burger,vegetarian,spicy,burgers,,,,
egg burger,non vegetarian,spicy,burgers,,,,
cheese burger,vegetarian,spicy,burgers,,,,
idli sambhar,vegetarian,spicy,breakfast,,,,
dosa,vegetarian,spicy,breakfast,,,,
masala dosa,vegetarian,spicy,breakfast,,,,
vada sambhar,vegetarian,spicy,breakfast,,,,
medu vada,vegetarian,spicy,breakfast,,,,
uttapam,vegetarian,spicy,breakfast,,,,
tea,vegetarian,,chai,,,,
masala tea,vegetarian,,chai,,,,
black tea,vegetarian,,chai,,,,
green tea,vegetarian,,chai,,,,
white tea,vegetarian,,chai,,,,
cappuccino,vegetarian,,cofee,,,,
cold cofee,vegetarian,,cofee,,,,
veg franky,vegetarian,,rolls,,,,
chicken franky,vegetarian,,rolls,,,,
mutton franky,vegetarian,,rolls,,,,
hara bhara kabab,non vegetarian,spicy,starter,,,,
chicken 65,,spicy,starter,,,,
prawns chilli,,spicy,starter,,,,
egg manchurian,,spicy,starter,,,,
roti,,,Normal,,,,
naan ,,,Normal,,,,
rumali roti,,,Normal,,,,
chicken momos,non vegetarian,spicy,momos,,,,
mutton momos,non vegetarian,spicy,momos,,,,
tandoori momo,non vegetarian,spicy,momos,,,,
